glu1	ac1	o21	glu2	ac2	o22	fitness
-12	-6	-16	-2	-18	-12	0
-14	-6	-24	-12	0	-6	0.918932
-4	-16	-18	-6	-8	-11	0.833742
-10	-16	-4	-18	-8	-26	0.928847
-20	-8	-2	-6	-12	-12	0.679643
-10	-18	-1	-18	-12	-26	0.926589
-18	-10	-15	-2	-8	-10	0.883113
-20	-12	-24	-14	-2	-4	0.930824
-18	-6	-15	-16	-8	-11	0.833552
-14	-14	-2	-10	-10	-24	0
-10	-2	-13	-2	-10	-1	0.813952
-14	-10	-22	-16	-4	-6	0.8814
-10	-8	-15	-18	-8	-8	0.809705
-18	-10	-20	-14	-4	-4	0.907974
-14	-12	-28	-12	-10	-1	0
-20	-10	-22	-16	-12	-4	0.919813
-2	-4	-2	-10	-8	-26	0
-12	-10	-26	-18	0	-4	0.91454
-6	-6	-1	-12	-18	-16	0
-14	-14	-24	-14	0	-6	0.935273
-10	-10	-1	-8	-16	-28	0
-20	-16	-24	-16	0	-4	0.939346
-20	-8	-10	-2	-2	-8	0.777878
-18	-14	-24	-12	-14	-6	0
-6	-12	-13	-18	-14	-10	0.826358
-18	-14	-24	-14	-16	-6	0
-2	-10	-14	-12	-8	-12	0.868896
-16	-8	-20	-12	-4	-4	0.904867
-20	-16	-11	-20	-16	-10	0.819955
-18	-8	-20	-14	-4	-4	0.900437
-16	-14	-15	-12	-18	-4	0.862162
-18	-2	-22	-12	-4	-4	0.84844
-20	-2	-6	-12	-18	-12	0.775424
-20	-6	-22	-12	-4	-6	0.89586
-14	-12	-1	-6	-4	-20	0.767133
-12	-18	-22	-12	0	-1	0.918718
-14	-10	-10	-14	-10	-16	0.891089
-10	-18	-16	-10	-18	-1	0.872101
-18	-2	-4	-10	-2	-18	0.764489
-10	-18	-18	-8	-18	-4	0
-4	-2	-10	-16	0	-2	0.304494
-16	-18	-16	-10	-2	-11	0
-18	-12	-2	-14	-8	-24	0.916684
-16	-18	-20	-10	-18	-6	0.925337
-2	-4	-1	-4	-6	-24	0
-12	-18	-16	-10	-16	-1	0.876208
-6	-4	-1	-14	-6	-28	0
-16	-14	-12	-6	-18	-4	0.860326
-10	-18	-16	-20	-6	-11	0.853157
-14	-12	-12	-4	-18	-2	0.872295
-6	-10	-8	-12	-12	-12	0.879033
-14	-12	-15	-6	-18	-8	0.902087
-8	-14	-13	-10	-16	-16	0.896164
-16	-12	-12	-6	-18	-1	0.843557
-4	-10	-13	-4	-14	-4	0
-16	-12	-11	-6	-18	-10	0.841107
-10	-16	-1	-16	-2	-18	0.77933
-16	-16	-1	-20	-16	-26	0.928198
-16	-4	-12	-18	-14	-13	0.853571
-14	-14	-2	-12	-18	-26	0.929085
-8	-12	-13	-6	-12	-14	0
-14	-18	-15	-4	-18	-6	0.903088
-10	-12	-16	-18	-16	-2	0.809012
-20	-12	-2	-12	-14	-26	0.912128
-18	-14	-22	-18	-2	-4	0.897288
-12	-14	-15	-4	-18	-2	0.901451
-14	-2	-15	-4	-6	-14	0.818515
-12	-8	-15	-4	-18	-13	0.885469
-12	0	-2	-18	-2	-16	0.692127
-12	-4	-2	-12	-18	-26	0
-4	-4	-28	-8	-18	-2	0.749088
-10	-2	-2	-12	-8	-26	0
-8	-18	-15	-14	-10	-4	0.822983
-18	-8	-15	-8	-18	-14	0.89782
-4	-14	-12	-12	-14	-1	0.728627
-20	-8	-15	-6	-18	-11	0.85259
-16	-8	-15	-4	-12	-11	0.870098
-12	-6	-20	-12	0	-6	0
-12	-14	-4	-14	-2	-14	0.729638
-10	-6	-4	-20	-10	-24	0.916755
-8	-2	-11	-4	-18	-15	0
-12	-6	-4	-20	-12	-24	0.928752
-18	-12	-20	-8	-8	-2	0
-12	-6	-2	-14	-12	-22	0
-16	0	-14	-12	-4	-2	0.363501
-12	-6	-10	-14	0	-20	0
-10	0	-18	-20	-2	-6	0.586478
-18	-16	-16	-10	-12	-6	0.89078
-8	-4	-10	-6	-12	-11	0.844168
-20	-16	-16	-10	-12	-4	0.86396
-12	-6	-13	-16	-16	-1	0.779318
-18	-8	-16	-8	-2	-2	0.882793
-16	-12	-6	-20	-2	-6	0.645005
-8	-16	-2	-14	-6	-13	0.842518
-10	-16	-14	-8	-14	-14	0.899426
-8	-14	-1	-16	-6	-18	0.868776
-2	-2	-2	-10	-6	-10	0.799878
-10	-16	-1	-14	-18	-28	0
-10	0	-12	-12	-4	-18	0.871328
-18	-8	-1	-12	-10	-28	0
-4	0	-8	-14	-2	-20	0
-14	-14	-1	-12	-14	-28	0
-20	-2	-6	-2	-4	-2	0.496889
-16	-10	-2	-12	-8	-28	0.92475
-16	-10	-1	-4	-2	-2	0.165265
-14	-16	-2	-12	-6	-28	0.923809
-14	-2	-11	-6	-10	-13	0.801172
-12	-16	-15	-8	-12	-1	0
-8	-6	-20	-10	-14	-1	0
-10	-18	-15	-8	-12	-1	0.893094
-10	-10	-15	-4	-12	-14	0.887922
-10	-18	-14	-2	-12	-4	0
-10	-6	-24	-14	-10	-4	0.901775
-12	-10	-8	-12	-8	-22	0
-18	-4	-10	-14	-16	-14	0.845671
-12	-14	-11	-6	-12	-16	0.872669
-8	-6	-1	-20	-6	-4	0.568043
-16	-6	-4	-20	0	-26	0.623559
-12	-14	-16	-6	-10	-1	0
-16	-12	-4	-18	-18	-26	0
-18	-12	-11	-6	0	-4	0.827611
-12	-18	-4	-20	-16	-26	0.931191
-20	-14	-4	-14	-4	-11	0.697307
-12	-10	-4	-20	-16	-26	0.931191
-2	-8	-6	-4	-2	-16	0.743552
-16	-12	-4	-14	-12	-26	0
-14	0	-13	-10	-16	-15	0.894765
-12	-10	-1	-18	-10	-26	0.928422
-4	-12	-4	-16	-12	-6	0.677244
-18	-8	-24	-14	0	-6	0
-2	0	-4	-14	-4	-1	0.158982
-20	-8	-24	-14	-2	-6	0.92878
-8	-8	-4	-10	-18	-20	0
-18	-14	-1	-18	-10	-26	0
-10	-14	-13	-16	-2	-15	0.859082
-12	-10	-4	-18	-8	-24	0
-16	0	-6	-8	-4	-22	0.789509
-12	0	-13	-8	-18	-11	0.850645
-10	-12	-4	-6	-10	-22	0
-20	-2	-1	-12	-14	-22	0.864208
-12	-14	-28	-20	0	-2	0.91086
-10	-4	-13	-8	-14	-16	0.893944
-4	-12	-11	-6	-2	-12	0.833742
-12	0	-12	-10	-18	-10	0.829415
-18	-4	-14	-8	-18	-11	0.848494
-12	-6	-13	-4	-14	-15	0.880691
-20	-18	-11	-8	-12	-4	0.821477
-14	-18	-22	-8	-10	-2	0.93204
-2	-2	-1	-18	-16	-1	0.150204
-16	-10	-22	-12	-12	-4	0.927485
-8	-8	-1	-18	-6	-16	0.86376
-10	-16	-10	-16	-6	-20	0
-16	0	-1	-10	-4	-16	0.809269
-16	-16	-10	-16	-8	-20	0.889227
-8	-18	-8	-16	-4	-4	0.688002
-18	-18	-10	-16	-10	-20	0.883129
-4	-14	-1	-4	-8	-22	0
-14	-18	-20	-12	-2	-1	0.922651
-16	-10	-13	-16	-10	-1	0.809729
-8	-18	-11	-14	-16	-14	0.892052
-14	-6	-15	-6	-16	-6	0.868004
-8	-14	-11	-10	-2	-15	0.878473
-8	-8	-4	-14	-16	-18	0
-10	-12	-4	-16	-8	-6	0.679841
-4	-10	-12	-12	-16	-16	0
-20	-14	-11	-4	-10	-16	0.827395
-8	-12	-13	-8	-16	-16	0.901546
-8	-14	-15	-16	-16	-15	0
-6	-14	-6	-6	0	-24	0.791497
-16	-8	-24	-18	-4	-4	0.892312
-4	-8	-28	-8	-18	-1	0
-10	-18	-13	-2	-10	-6	0.879255
-10	-6	-24	-18	-10	-4	0.876674
-20	-18	-2	-18	-10	-6	0.626592
-16	-8	-26	-18	-4	-4	0.896179
-2	-14	-14	-4	-14	-10	0.743552
-20	-14	-18	-4	0	-11	0.897156
-16	-18	-22	-6	-12	-2	0
-2	-12	-15	-12	-10	-8	0.791869
-16	-18	-22	-6	-2	-2	0
-6	-10	-11	-6	-4	-16	0.85719
-14	-18	-22	-4	-12	-6	0
-20	-4	-8	-4	-18	-11	0.742814
-14	-14	-22	-4	-4	-4	0.921823
-14	-8	-24	-4	-16	-1	0
-16	-16	-22	-4	-4	-4	0
-14	-14	-4	-18	-8	-20	0.899947
-12	-18	-4	-18	-14	-22	0
-8	-18	-13	-8	-8	-2	0.866271
-16	-16	-16	-14	-18	-13	0.902591
-12	-4	-15	-16	-14	-15	0.897047
-12	-14	-28	-16	0	-2	0
-16	0	-2	-12	-8	-26	0
-12	-10	-26	-16	0	-4	0
-2	-2	-8	-2	-6	-10	0.533168
-12	-14	-26	-16	0	-4	0
-14	-16	-1	-12	-12	-6	0.637979
-16	-4	-24	-18	-18	-6	0.894427
-8	-2	-1	-8	-16	-14	0.850106
-16	-16	-20	-18	-10	-1	0.925227
-12	0	-14	-10	-2	-12	0.648727
-16	-16	-20	-16	-4	-4	0
-20	-16	-8	-20	-10	-8	0.756345
-16	-6	-26	-6	0	-4	0.922682
-20	-18	-12	-14	-16	-8	0.830629
-16	-10	-26	-6	-2	-1	0
-8	-6	-1	-2	-10	-10	0.670714
-16	-8	-20	-12	-10	-6	0
-18	-2	-4	-16	-6	-10	0.714515
-10	-6	-15	-6	-18	-14	0
-12	-10	-2	-2	-8	-8	0.548568
-14	-10	-18	-10	-10	-12	0.904427
-14	-16	-6	-2	-2	-15	0.690241
-14	-14	-16	-10	-14	-14	0.901242
-6	-14	-22	-16	0	-6	0.866161
-12	-16	-16	-10	-14	-13	0.912447
-6	0	-16	-4	-2	-8	0.827056
-12	-14	-22	-12	-8	-4	0
-2	-6	-8	-4	-16	-6	0.744476
-10	-2	-26	-20	0	-2	0.795978
-2	-8	-13	-8	-14	-13	0
-10	0	-28	-20	0	-2	0.780241
-6	0	-11	-18	0	-15	0.765567
-14	-16	-22	-12	-4	-1	0
-18	-8	-13	-10	-14	-4	0.820454
-18	-6	-20	-14	-12	-2	0.876529
-8	-8	-2	-12	-14	-14	0.88894
-12	-14	-16	-10	-12	-10	0.898385
-20	-12	-12	-12	-14	-1	0.836113
-20	-10	-20	-10	-2	-1	0
-20	0	-14	-14	0	-6	0.72708
-16	-16	-15	-8	-12	-10	0.879891
-20	0	-2	-20	-2	-26	0.844795
-14	-16	-16	-14	-12	-11	0.88967
-18	-10	-12	-20	-18	-14	0.858124
-10	-14	-15	-8	-12	-15	0.89157
-20	-2	-6	-20	-12	-2	0.455469
-18	-10	-20	-16	-14	-8	0.900923
-14	-4	-24	-18	0	-4	0.869317
-12	-14	-16	-10	-4	-14	0
-16	-2	-2	-18	-18	-20	0.926876
-12	-14	-16	-10	-4	-12	0.902568
-2	-4	-14	-20	-4	-8	0.678405
-16	-4	-26	-18	-14	-2	0
-12	-2	-12	-14	-6	-2	0.659536
-16	-6	-24	-18	-14	-2	0.874249
-12	-14	-4	-8	-14	-12	0.801106
-16	-8	-16	-8	-16	-12	0.883009
-14	-6	-16	-6	-6	-14	0.883553
-12	-8	-18	-12	-18	-12	0.90445
-10	-14	-13	-16	-4	-10	0.84255
-14	-8	-18	-12	-18	-11	0
-16	0	-1	-10	-14	-12	0.802927
-16	-8	-18	-14	-14	-11	0.901877
-6	-18	-13	-14	-2	-2	0.761307
-10	-14	-13	-4	-16	-15	0
-10	-10	-6	-18	0	-6	0.596384
-20	-12	-20	-18	-2	-6	0.903536
-8	-14	-13	-10	-14	-4	0.83383
-20	-12	-20	-14	-2	-6	0.90732
-18	-14	-4	-6	-14	-6	0.621633
-12	0	-16	-12	-14	-13	0.889145
-2	-4	-2	-2	-8	-13	0
-12	0	-16	-10	-16	-13	0.892351
-18	-12	-13	-10	-4	-10	0.843835
-12	0	-16	-12	-12	-12	0.87414
-18	-6	-15	-4	-10	-11	0.874272
-20	-14	-22	-20	-4	-4	0.878574
-18	-2	-28	-4	0	-2	0
-10	-18	-18	-10	-6	-2	0
-8	0	-11	-2	-14	-12	0.852957
-12	-18	-20	-12	-6	-2	0.898553
-6	-16	-10	-8	-8	-1	0.782261
-10	-18	-20	-12	-8	-1	0
-14	-12	-1	-12	-10	-2	0.209079
-20	-14	-22	-20	-8	-2	0.932177
-14	-16	-14	-16	-16	-10	0.870614
-20	-16	-8	-8	-14	-22	0.842461
-4	-12	-11	-10	-12	-10	0.838597
-20	-16	-6	-8	-16	-24	0.855784
-20	-16	-4	-18	-10	-1	0.541596
-10	0	-2	-20	-10	-22	0.892933
-18	-4	-26	-16	-2	-4	0
-14	-4	-4	-20	-10	-26	0.927431
-14	-12	-1	-4	-16	-12	0.687106
-18	-4	-4	-20	-10	-26	0.935456
-6	-4	-1	-10	-16	-6	0.700817
-16	-18	-24	-10	0	-4	0
-20	-4	-11	-16	-12	-4	0.722384
-16	-12	-24	-14	-2	-4	0
-8	-8	-8	-6	-2	-2	0.766103
-16	-10	-24	-14	-12	-4	0
-20	-14	-8	-16	-6	-14	0.797736
