ec1	ec2	ec3	ec4	arg	lys	met	phe	sd	fitness
22	0.55	0.15	0.05	0.25	1.7	1.1	1.1	1.4	0	0.899993
377	0.65	0.1	0.1	0.15	1.4	1.8	2	1	0.0512271448821294	0.899867
241	0.35	0.25	0.15	0.25	1.8	1.3	1.7	1.2	0.0592594825567209	0.899777
38	0.45	0.1	0.05	0.4	1.4	1.6	1.5	2	0	0.899762
290	0.35	0.4	0.15	0.1	2	1.2	1.5	1.3	0.0311062996444335	0.898502
493	0.6	0.05	0.05	0.3	1.5	2	1.8	1.5	0.0441712554464379	0.897257
153	0.45	0.15	0.05	0.35	1.5	1.8	2	1.1	0.0535024910699205	0.896392
226	0.3	0.1	0.05	0.55	1.6	1.3	1.3	1.7	0	0.895985
135	0.6	0.2	0.15	0.05	1.5	1.8	1.4	1.1	0.059434125586957	0.895336
266	0.5	0.25	0.05	0.2	1.8	1.7	1.2	1.4	0.0524138798266713	0.894115
395	0.35	0.15	0.15	0.35	1.4	1.4	1.8	2	0.00874885057174214	0.893066
245	0.4	0.3	0.1	0.2	1.5	2	1.7	1.8	0.035771681782052	0.890081
171	0.4	0.15	0.05	0.4	1.4	1.4	2	1.9	0	0.889739
489	0.6	0.2	0.15	0.05	1	1.8	1.6	1.4	0.0430501516776693	0.888442
145	0.6	0.2	0.15	0.05	1.5	1.6	1.4	1.3	0.0458588344628719	0.887671
457	0.35	0.1	0.05	0.5	2	1.9	1.4	1.8	0.041046141832431	0.887432
48	0.45	0.1	0.05	0.4	1.2	1.9	1.1	1.2	0.0492874032582607	0.887061
74	0.25	0.4	0.25	0.1	1.2	1.5	1.6	1.7	0.0312682891668885	0.885972
409	0.5	0.05	0.1	0.35	1.5	1.7	1.1	1.1	0.0501516773764174	0.885932
124	0.4	0.25	0.1	0.25	1.7	1.3	1.5	1.7	0.0255614664846067	0.883512
287	0.55	0.25	0.15	0.05	2	2	1.9	1.9	0.0338112382262792	0.882504
139	0.4	0.1	0.15	0.35	1.1	1.9	1.9	1.2	0.0803345590753396	0.882325
410	0.5	0.3	0.15	0.05	1.5	1.2	1.4	1.3	0.029359580682054	0.881903
237	0.35	0.25	0.15	0.25	2	1.3	1.5	1.4	0.038656567341697	0.881898
432	0.45	0.25	0.1	0.2	1.2	1.3	1.1	1.9	0.0117304701366057	0.880567
403	0.45	0.05	0.05	0.45	1.4	1.8	1.3	1.1	0	0.880384
427	0.35	0.2	0.15	0.3	1.6	1.5	1.5	2	0.0204709484169237	0.879808
102	0.4	0.25	0.15	0.2	1.5	1.3	1.3	1.3	0.0399509604379128	0.879409
431	0.65	0.1	0.15	0.1	1.8	1.3	2	1.1	0.0523740355598927	0.877627
108	0.7	0.1	0.05	0.15	2	1.7	1.2	1.1	0.0508155287638295	0.876539
207	0.65	0.15	0.05	0.15	2	1.7	1.7	1.4	0.0539088353484698	0.87386
488	0.65	0.1	0.05	0.2	1.8	1.4	1.2	1.1	0.0535221226483653	0.872662
334	0.4	0.35	0.15	0.1	1.9	1.3	1.5	1.6	0.0352584898709268	0.871457
225	0.35	0.3	0.15	0.2	1.8	1.7	1.8	1.1	0	0.870357
487	0.45	0.15	0.05	0.35	1.1	1.3	1.2	1.8	0.0476778293911198	0.869097
231	0.35	0.35	0.1	0.2	1.9	1.5	1.8	1.4	0.0215619207315264	0.868745
339	0.35	0.15	0.05	0.45	1.7	1.5	1.5	1	0.0724881864334595	0.868399
434	0.25	0.4	0.25	0.1	1.7	1.1	1.3	1.9	0.0250743984654526	0.867432
277	0.75	0.15	0.05	0.05	1.9	2	1.5	1.2	0.0960118910306471	0.864057
229	0.35	0.25	0.05	0.35	2	1.7	1.4	1.3	0.032549045313255	0.862491
56	0.5	0.05	0.05	0.4	1.6	1.4	1.6	1.2	0	0.861491
239	0.35	0.3	0.05	0.3	1.9	1.5	1.9	1.9	0.0345181229880974	0.860488
344	0.35	0.2	0.15	0.3	1.3	1.1	1.1	1.5	0.0347359304070576	0.859367
78	0.55	0.25	0.15	0.05	1.7	1.1	1	1.8	0.0919741364388222	0.859079
143	0.6	0.2	0.15	0.05	1	2	1.6	1.4	0.0128681079349375	0.858761
19	0.6	0.2	0.15	0.05	1.9	1.2	1.9	1.4	0.0546481305141543	0.856822
472	0.45	0.3	0.2	0.05	1.6	1.2	1.5	1.4	0.0641092526974376	0.856025
253	0.7	0.15	0.1	0.05	1.6	1.3	1.6	1.3	0.0697510744047905	0.85508
140	0.55	0.05	0.1	0.3	1.7	1.9	1.2	1.1	0.000657983926539677	0.854851
243	0.35	0.3	0.05	0.3	1.7	2	1.9	1	0.0328580846620658	0.853531
195	0.35	0.2	0.1	0.35	1	1.6	1.3	1.2	0.0298622644237977	0.85352
46	0.5	0.05	0.05	0.4	2	1.2	1.3	1.6	0.0663990059242117	0.853456
14	0.45	0.15	0.05	0.35	1.4	1.4	1	2	0.0466133961221198	0.850734
34	0.5	0.05	0.05	0.4	1.8	1.7	1.1	1.8	0.0428125986730779	0.848347
1	0.25	0.25	0.25	0.25	1.5	1.5	1.5	1.5	0.0572535683222715	0.848145
362	0.5	0.2	0.25	0.05	1.5	1	1.7	2	0.0419916384203661	0.84555
214	0.5	0.25	0.2	0.05	1.7	1.1	1	1.2	0.0625443064333861	0.841525
420	0.3	0.35	0.3	0.05	1.8	1.5	1.9	1.2	0.0708123986796974	0.839479
11	0.25	0.5	0.15	0.1	1.9	1.5	1.6	1.1	0.0907219978424723	0.838119
258	0.3	0.5	0.15	0.05	1.4	1.6	1.7	1.5	0.0706260694459234	0.837936
441	0.5	0.15	0.05	0.3	1.1	1	1.6	1.4	0.0595455147852118	0.837751
181	0.65	0.05	0.15	0.15	1	1.9	2	1.4	0.00198821581732489	0.837273
406	0.25	0.45	0.25	0.05	1.5	1.7	1.8	1.1	0.0566755997159032	0.835231
54	0.45	0.05	0.1	0.4	2	2	1.2	1.4	0.0923004445543035	0.833711
39	0.2	0.4	0.35	0.05	1.1	2	1.6	1.8	0.0640941103265505	0.833207
382	0.1	0.6	0.25	0.05	1.9	1	1.1	1.9	0.0433289081640657	0.82769
58	0.45	0.05	0.05	0.45	1.4	1.3	1	1.4	0.0884619595638244	0.826174
33	0.2	0.3	0.25	0.25	1.5	1.6	1.2	1.2	0.0583639606194845	0.820719
93	0.6	0.2	0.15	0.05	1.6	1.2	1.6	1.2	0.034229289781063	0.819649
