52: p1_ec1='0.5', p2_ec2='0.05', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.5', p6_lys='1.1', p7_met='1.2', p8_phe='1.9',52,0
53: p1_ec1='0.35', p2_ec2='0.20', p3_ec3='0.15', p4_ec4='0.3', p5_arg='1.6', p6_lys='2', p7_met='1.8', p8_phe='1.2',53,0.970733
54: p1_ec1='0.45', p2_ec2='0.05', p3_ec3='0.1', p4_ec4='0.4', p5_arg='2', p6_lys='2', p7_met='1.2', p8_phe='1.4',54,0.833711
55: p1_ec1='0.15', p2_ec2='0.3', p3_ec3='0.05', p4_ec4='0.5', p5_arg='1.5', p6_lys='1.4', p7_met='1.3', p8_phe='1',55,0
56: p1_ec1='0.5', p2_ec2='0.05', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.6', p6_lys='1.4', p7_met='1.6', p8_phe='1.2',56,0.861491
57: p1_ec1='0.20', p2_ec2='0.15', p3_ec3='0.4', p4_ec4='0.25', p5_arg='1.8', p6_lys='1.8', p7_met='1.8', p8_phe='1.9',57,0
58: p1_ec1='0.45', p2_ec2='0.05', p3_ec3='0.05', p4_ec4='0.45', p5_arg='1.4', p6_lys='1.3', p7_met='1', p8_phe='1.4',58,0.826174
59: p1_ec1='0.3', p2_ec2='0.05', p3_ec3='0.55', p4_ec4='0.1', p5_arg='1', p6_lys='1.8', p7_met='1.1', p8_phe='1.5',59,0
60: p1_ec1='0.45', p2_ec2='0.05', p3_ec3='0.1', p4_ec4='0.4', p5_arg='1.7', p6_lys='1.3', p7_met='1.4', p8_phe='1.5',60,0.813199
61: p1_ec1='0.15', p2_ec2='0.20', p3_ec3='0.55', p4_ec4='0.1', p5_arg='1.5', p6_lys='1.7', p7_met='1.1', p8_phe='1.3',61,0
62: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.05', p4_ec4='0.4', p5_arg='1.9', p6_lys='2', p7_met='1.5', p8_phe='1.9',62,0.913994
63: p1_ec1='0.45', p2_ec2='0.1', p3_ec3='0.20', p4_ec4='0.25', p5_arg='1.3', p6_lys='1.8', p7_met='1.4', p8_phe='1.3',63,0
64: p1_ec1='0.4', p2_ec2='0.45', p3_ec3='0.1', p4_ec4='0.05', p5_arg='1.4', p6_lys='1.9', p7_met='1.7', p8_phe='1',64,0
65: p1_ec1='0.55', p2_ec2='0.1', p3_ec3='0.20', p4_ec4='0.15', p5_arg='1.6', p6_lys='1.3', p7_met='1.6', p8_phe='1.2',65,0.903584
66: p1_ec1='0.55', p2_ec2='0.1', p3_ec3='0.3', p4_ec4='0.05', p5_arg='1.2', p6_lys='1.5', p7_met='1.7', p8_phe='1.7',66,0
67: p1_ec1='0.55', p2_ec2='0.1', p3_ec3='0.3', p4_ec4='0.05', p5_arg='1.5', p6_lys='1.5', p7_met='1.5', p8_phe='1.3',67,0
68: p1_ec1='0.5', p2_ec2='0.05', p3_ec3='0.20', p4_ec4='0.25', p5_arg='1.7', p6_lys='1.4', p7_met='1.5', p8_phe='1.3',68,0
69: p1_ec1='0.6', p2_ec2='0.1', p3_ec3='0.25', p4_ec4='0.05', p5_arg='1', p6_lys='1.5', p7_met='1.2', p8_phe='1.1',69,0
70: p1_ec1='0.1', p2_ec2='0.45', p3_ec3='0.35', p4_ec4='0.1', p5_arg='1.1', p6_lys='1.8', p7_met='1.9', p8_phe='1.6',70,0.803556
71: p1_ec1='0.55', p2_ec2='0.1', p3_ec3='0.25', p4_ec4='0.1', p5_arg='1.3', p6_lys='1.3', p7_met='1.3', p8_phe='1.2',71,0
