ec1	ec2	ec3	ec4	arg	lys	met	phe	fitness
0.3	0.15	0.15	0.4	1.2	2	1.6	1.3	0
0.20	0.15	0.05	0.6	1	1	1	2	0
0.4	0.15	0.05	0.4	1.4	1.8	1.5	1.3	0.922105
0.05	0.35	0.1	0.5	1.2	1.9	1.9	1.6	0
0.35	0.15	0.15	0.35	1.3	1.7	1.3	1.2	0.952034
0.6	0.20	0.15	0.05	1.5	1.8	1.4	1.1	0.895336
0.35	0.4	0.05	0.20	1.5	1.7	1.2	1.4	0
0.4	0.1	0.05	0.45	1.1	1.4	1.8	1.1	0.941147
0.1	0.05	0.45	0.4	1.2	1.7	2	1.3	0
0.4	0.1	0.15	0.35	1.1	1.9	1.9	1.2	0.882325
0.55	0.05	0.1	0.3	1.7	1.9	1.2	1.1	0.854851
0.75	0.15	0.05	0.05	1.5	1.3	1.4	1.1	0
0.4	0.15	0.4	0.05	1.2	1.8	1.2	2	0
0.6	0.20	0.15	0.05	1	2	1.6	1.4	0.858761
0.3	0.45	0.20	0.05	1	1.4	1.9	1	0
0.6	0.20	0.15	0.05	1.5	1.6	1.4	1.3	0.887671
0.05	0.4	0.05	0.5	1.1	1.9	1.9	1.4	0
0.4	0.1	0.15	0.35	1.3	1.4	1.8	1.3	0
0.1	0.3	0.15	0.45	1.9	1.1	1.2	1.5	0
0.4	0.20	0.1	0.3	1	1.4	1.8	1.4	0
0.1	0.3	0.25	0.35	1.8	1.4	1.5	1.8	0
0.4	0.1	0.15	0.35	1.4	1.8	2	1.4	0
0.20	0.5	0.15	0.15	1	1.1	1.4	1.1	0
0.45	0.15	0.05	0.35	1.5	1.8	2	1.1	0.896392
0.35	0.25	0.15	0.25	1.2	1.7	2	1.8	0
0.45	0.15	0.15	0.25	1.6	1.3	1.6	1.6	0.908001
0.4	0.35	0.05	0.20	1.9	2	1.7	2	0.913488
0.7	0.15	0.1	0.05	1.3	2	1.5	1.5	0.948291
0.7	0.05	0.1	0.15	1.7	1.2	1.7	2	0
0.5	0.1	0.05	0.35	1	1.6	2	1.4	0
0.3	0.45	0.20	0.05	1.6	1.2	1.8	1.9	0
0.55	0.1	0.05	0.3	1.5	2	1.9	1.3	0.91954
0.45	0.1	0.4	0.05	1.5	2	1.5	1.7	0
0.45	0.20	0.1	0.25	1.7	1.7	1.4	1.2	0.948425
0.35	0.15	0.25	0.25	1.9	1.7	1.2	1.4	0.910189
0.45	0.20	0.15	0.20	1	2	1.5	1.1	0.933792
0.4	0.1	0.45	0.05	1.1	1.1	1.9	1.9	0
0.45	0.20	0.15	0.20	1.6	1.8	1.4	1.2	0.954753
0.15	0.15	0.1	0.6	1	2	1.9	1.7	0
0.45	0.20	0.15	0.20	1.4	1.8	1.5	1.2	0.95992
0.25	0.15	0.45	0.15	1.1	1	1.5	2	0
0.4	0.15	0.05	0.4	1.4	1.4	2	1.9	0.889739
0.20	0.20	0.45	0.15	1.4	1.9	1.5	1.1	0
0.4	0.1	0.15	0.35	1.3	2	1.8	2	0.913771
0.1	0.75	0.1	0.05	1.5	1.6	1.6	1.1	0
0.35	0.20	0.15	0.3	1.9	1.9	1.7	1.2	0.961126
0.20	0.20	0.20	0.4	1	1.5	1.8	2	0
0.55	0.1	0.05	0.3	1.5	1.9	1.7	1.2	0.966437
0.05	0.35	0.45	0.15	1.5	1.1	1.8	1.3	0
0.4	0.15	0.15	0.3	1.7	1.7	1.7	1.1	0.961851
0.15	0.15	0.3	0.4	1.3	1.1	1.6	1	0
0.65	0.05	0.15	0.15	1	1.9	2	1.4	0.837273
0.25	0.55	0.1	0.1	1.5	1.7	1.8	2	0.690981
0.5	0.1	0.15	0.25	1	1.6	1.4	1	0
0.35	0.1	0.5	0.05	1.6	1.1	1.3	1	0
0.4	0.15	0.15	0.3	1	1.5	1.6	1.2	0.914011
0.4	0.05	0.45	0.1	1.1	1	1.8	1.1	0
0.55	0.15	0.1	0.20	1.9	1.9	1.7	1.4	0.946919
0.1	0.1	0.55	0.25	1.1	1.8	1.9	1.6	0
0.65	0.15	0.05	0.15	1.4	1.9	1.7	1.1	0.81147
0.25	0.45	0.1	0.20	1.7	1.5	2	1	0
