Fitness_function	configuration	fitness	sd	avg.Biomass	avg.Yield	endCycle
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-2.0,-8.0,-7.0,0.5,-3.6	0.717902	0.004687781829526003	1.033044	0.562315	121
MaxYieldNew_MinTime	-4.0,-18.0,-7.0,-2.0,-10.0,-7.0,0.5,-0.0	0.717892	0.004379125522532901	1.031523	0.561471	120
MaxYieldNew_MinTime	-4.0,0.0,-7.0,-2.0,-4.0,-7.0,0.5,-0.0	0.717342	0.0024952926878460398	1.033335	0.562477	120
MaxYieldNew_MinTime	-4.0,-14.0,-7.0,-2.0,-12.0,-7.0,0.5,-3.6	0.716823	0.001970256481657292	1.030712	0.561021	120
MaxYieldNew_MinTime	-4.0,-12.0,-6.0,-4.0,-14.0,-7.0,1.7,0.5	0.715018	0.002063047930922865	0.993781	0.540521	113
MaxYieldNew_MinTime	-2.0,-14.0,-3.0,-6.0,-6.0,-7.0,1.2,4.7	0.714635	0.00017544774171551175	0.997457	0.542562	114
MaxYieldNew_MinTime	-6.0,-18.0,-7.0,-2.0,-2.0,-1.0,4.7,2.5	0.714217	3.702335999308016e-05	0.978538	0.53206	110
MaxYieldNew_MinTime	-6.0,-16.0,-7.0,-2.0,-2.0,-1.0,4.7,2.5	0.714217	3.702104831752768e-05	0.978538	0.53206	110
MaxYieldNew_MinTime	-8.0,-14.0,-7.0,-2.0,0.0,-2.0,8.2,2.3	0.713216	0.00869227505014212	0.93734	0.509192	101
MaxYieldNew_MinTime	-4.0,-10.0,-7.0,-2.0,-6.0,-6.0,0.5,-0.0	0.713159	0.003786818098244281	1.027295	0.559124	121
MaxYieldNew_MinTime	-4.0,-8.0,-7.0,-2.0,-6.0,-6.0,0.5,-2.4	0.712199	0.00026062670311520947	1.023719	0.557139	121
MaxYieldNew_MinTime	-6.0,-18.0,-7.0,-4.0,0.0,-2.0,4.7,4.7	0.712014	0.009634811290180298	0.975276	0.53025	111
MaxYieldNew_MinTime	-4.0,-14.0,-7.0,-2.0,-6.0,-6.0,0.5,-2.4	0.711165	0.0010235349768045097	1.022985	0.556732	121
MaxYieldNew_MinTime	-4.0,-12.0,-4.0,-12.0,-18.0,-7.0,4.0,14.2	0.710967	0.0038820930372532466	0.872427	0.473161	88
