125: p1_glu1='-20', p2_ac1='-14', p3_o21='-7', p4_glu2='-10', p5_ac2='-10', p6_o22='-2',125,0.682092
126: p1_glu1='-12', p2_ac1='-8', p3_o21='-5', p4_glu2='-6', p5_ac2='-2', p6_o22='-1',126,0.6027
127: p1_glu1='-20', p2_ac1='-2', p3_o21='-7', p4_glu2='-6', p5_ac2='-12', p6_o22='-7',127,0.612673
128: p1_glu1='-10', p2_ac1='-18', p3_o21='-5', p4_glu2='-12', p5_ac2='0', p6_o22='-7',128,0.583316
129: p1_glu1='-20', p2_ac1='-14', p3_o21='-7', p4_glu2='-12', p5_ac2='-6', p6_o22='-2',129,0.666609
130: p1_glu1='-20', p2_ac1='0', p3_o21='-6', p4_glu2='-20', p5_ac2='-8', p6_o22='-1',130,0.176703
131: p1_glu1='-20', p2_ac1='-12', p3_o21='-7', p4_glu2='-2', p5_ac2='-10', p6_o22='-2',131,0.689506
132: p1_glu1='-6', p2_ac1='-10', p3_o21='-7', p4_glu2='-10', p5_ac2='0', p6_o22='-5',132,0.657781
133: p1_glu1='-4', p2_ac1='-10', p3_o21='-5', p4_glu2='-12', p5_ac2='-4', p6_o22='-5',133,0.610655
134: p1_glu1='-2', p2_ac1='-10', p3_o21='-7', p4_glu2='-10', p5_ac2='0', p6_o22='-5',134,0.557023
135: p1_glu1='-8', p2_ac1='-10', p3_o21='-1', p4_glu2='-4', p5_ac2='-2', p6_o22='-1',135,0.140572
136: p1_glu1='-8', p2_ac1='-16', p3_o21='-7', p4_glu2='-10', p5_ac2='0', p6_o22='-5',136,0.674769
137: p1_glu1='-8', p2_ac1='-8', p3_o21='-4', p4_glu2='-8', p5_ac2='-14', p6_o22='-4',137,0.569301
138: p1_glu1='-10', p2_ac1='-18', p3_o21='-7', p4_glu2='-2', p5_ac2='0', p6_o22='-5',138,0.720574
139: p1_glu1='-2', p2_ac1='0', p3_o21='-4', p4_glu2='-8', p5_ac2='0', p6_o22='-2',139,0.433396
140: p1_glu1='-8', p2_ac1='-14', p3_o21='-7', p4_glu2='-10', p5_ac2='0', p6_o22='-6',140,0.685327
141: p1_glu1='-2', p2_ac1='-16', p3_o21='-4', p4_glu2='-14', p5_ac2='-6', p6_o22='-1',141,0.213868
142: p1_glu1='-12', p2_ac1='-18', p3_o21='-7', p4_glu2='-6', p5_ac2='0', p6_o22='-7',142,0.720669
143: p1_glu1='-2', p2_ac1='0', p3_o21='-2', p4_glu2='-4', p5_ac2='-14', p6_o22='-7',143,0.692789
144: p1_glu1='-4', p2_ac1='0', p3_o21='-6', p4_glu2='-20', p5_ac2='-18', p6_o22='-4',144,0.573377
145: p1_glu1='-2', p2_ac1='-14', p3_o21='-3', p4_glu2='-4', p5_ac2='-16', p6_o22='-7',145,0.690322
146: p1_glu1='-14', p2_ac1='-16', p3_o21='-5', p4_glu2='-14', p5_ac2='-18', p6_o22='-5',146,0.630734
147: p1_glu1='-2', p2_ac1='-18', p3_o21='-3', p4_glu2='-4', p5_ac2='-14', p6_o22='-7',147,0.690538
148: p1_glu1='-10', p2_ac1='-6', p3_o21='-4', p4_glu2='-6', p5_ac2='0', p6_o22='-4',148,0.535849
149: p1_glu1='-2', p2_ac1='-18', p3_o21='-2', p4_glu2='-4', p5_ac2='-18', p6_o22='-7',149,0.692865
150: p1_glu1='-8', p2_ac1='-10', p3_o21='-7', p4_glu2='-18', p5_ac2='-12', p6_o22='-6',150,0.675454
151: p1_glu1='-2', p2_ac1='-18', p3_o21='-2', p4_glu2='-4', p5_ac2='-10', p6_o22='-7',151,0.692865
152: p1_glu1='-16', p2_ac1='0', p3_o21='-2', p4_glu2='-20', p5_ac2='-8', p6_o22='-6',152,0.620979
153: p1_glu1='-2', p2_ac1='-14', p3_o21='-3', p4_glu2='-4', p5_ac2='-14', p6_o22='-7',153,0.690381
154: p1_glu1='-6', p2_ac1='-12', p3_o21='-7', p4_glu2='-4', p5_ac2='0', p6_o22='-7',154,0.737579
155: p1_glu1='-18', p2_ac1='-6', p3_o21='-2', p4_glu2='-18', p5_ac2='-12', p6_o22='-6',155,0.620578
156: p1_glu1='-6', p2_ac1='-18', p3_o21='-7', p4_glu2='-4', p5_ac2='0', p6_o22='-2',156,0.712014
157: p1_glu1='-2', p2_ac1='-18', p3_o21='-6', p4_glu2='-8', p5_ac2='-16', p6_o22='-4',157,0.58906
158: p1_glu1='-6', p2_ac1='-12', p3_o21='-7', p4_glu2='-2', p5_ac2='0', p6_o22='-3',158,0.725489
159: p1_glu1='-20', p2_ac1='-10', p3_o21='-5', p4_glu2='-10', p5_ac2='-4', p6_o22='-2',159,0.597121
160: p1_glu1='-2', p2_ac1='-14', p3_o21='-7', p4_glu2='-2', p5_ac2='0', p6_o22='-3',160,0
161: p1_glu1='-2', p2_ac1='-12', p3_o21='-3', p4_glu2='-18', p5_ac2='0', p6_o22='-3',161,0.190387
162: p1_glu1='-4', p2_ac1='-16', p3_o21='-7', p4_glu2='-2', p5_ac2='0', p6_o22='-2',162,0.692716
163: p1_glu1='-8', p2_ac1='-12', p3_o21='-7', p4_glu2='-12', p5_ac2='-2', p6_o22='-5',163,0.659396
164: p1_glu1='-6', p2_ac1='-18', p3_o21='-7', p4_glu2='-4', p5_ac2='0', p6_o22='-6',164,0.736918
165: p1_glu1='-6', p2_ac1='-18', p3_o21='-4', p4_glu2='-12', p5_ac2='0', p6_o22='-3',165,0.387126
166: p1_glu1='-16', p2_ac1='-8', p3_o21='-4', p4_glu2='-14', p5_ac2='-10', p6_o22='-3',166,0.545925
167: p1_glu1='-8', p2_ac1='-12', p3_o21='-7', p4_glu2='-2', p5_ac2='-6', p6_o22='-6',167,0.72297
168: p1_glu1='-16', p2_ac1='-12', p3_o21='-4', p4_glu2='-10', p5_ac2='-12', p6_o22='-3',168,0.555882
169: p1_glu1='-12', p2_ac1='-14', p3_o21='-7', p4_glu2='-2', p5_ac2='-12', p6_o22='-6',169,0.723253
170: p1_glu1='-18', p2_ac1='-6', p3_o21='-4', p4_glu2='-10', p5_ac2='-16', p6_o22='-5',170,0.593474
171: p1_glu1='-10', p2_ac1='-16', p3_o21='-7', p4_glu2='-2', p5_ac2='-18', p6_o22='-6',171,0.730162
172: p1_glu1='-14', p2_ac1='-4', p3_o21='-6', p4_glu2='-14', p5_ac2='-18', p6_o22='-6',172,0.655788
173: p1_glu1='-10', p2_ac1='-16', p3_o21='-7', p4_glu2='-2', p5_ac2='-8', p6_o22='-6',173,0.729478
174: p1_glu1='-16', p2_ac1='-6', p3_o21='-5', p4_glu2='-6', p5_ac2='-6', p6_o22='-5',174,0.621518
175: p1_glu1='-2', p2_ac1='-18', p3_o21='-7', p4_glu2='-2', p5_ac2='-16', p6_o22='-7',175,0.498082
176: p1_glu1='-6', p2_ac1='-14', p3_o21='-6', p4_glu2='-10', p5_ac2='-18', p6_o22='-4',176,0.630559
177: p1_glu1='-2', p2_ac1='-18', p3_o21='-7', p4_glu2='-2', p5_ac2='-4', p6_o22='-6',177,0.498082
178: p1_glu1='-10', p2_ac1='-14', p3_o21='-1', p4_glu2='-2', p5_ac2='-14', p6_o22='-6',178,0.435052
179: p1_glu1='-2', p2_ac1='-18', p3_o21='-7', p4_glu2='-4', p5_ac2='-4', p6_o22='-6',179,0.68829
180: p1_glu1='-6', p2_ac1='-14', p3_o21='-4', p4_glu2='-10', p5_ac2='-14', p6_o22='-6',180,0.678064
181: p1_glu1='-2', p2_ac1='-14', p3_o21='-7', p4_glu2='-4', p5_ac2='-6', p6_o22='-7',181,0.719407
182: p1_glu1='-2', p2_ac1='-8', p3_o21='-4', p4_glu2='-4', p5_ac2='0', p6_o22='-3',182,0.396756
183: p1_glu1='-2', p2_ac1='-16', p3_o21='-7', p4_glu2='-2', p5_ac2='-16', p6_o22='-7',183,0.498082
184: p1_glu1='-2', p2_ac1='-14', p3_o21='-7', p4_glu2='-2', p5_ac2='-4', p6_o22='-3',184,0
185: p1_glu1='-8', p2_ac1='-4', p3_o21='-7', p4_glu2='-14', p5_ac2='-14', p6_o22='-3',185,0.583775
186: p1_glu1='-8', p2_ac1='-6', p3_o21='-6', p4_glu2='-4', p5_ac2='-12', p6_o22='-5',186,0.684111
187: p1_glu1='-12', p2_ac1='-4', p3_o21='-7', p4_glu2='-12', p5_ac2='-14', p6_o22='-2',187,0.60287
188: p1_glu1='-8', p2_ac1='-8', p3_o21='-1', p4_glu2='-18', p5_ac2='-16', p6_o22='-3',188,0.456784
189: p1_glu1='-10', p2_ac1='-4', p3_o21='-7', p4_glu2='-12', p5_ac2='-16', p6_o22='-3',189,0.61067
190: p1_glu1='-10', p2_ac1='-14', p3_o21='-1', p4_glu2='-4', p5_ac2='-4', p6_o22='-3',190,0.220032
191: p1_glu1='-20', p2_ac1='-4', p3_o21='-7', p4_glu2='-20', p5_ac2='0', p6_o22='-3',191,0.562668
192: p1_glu1='-12', p2_ac1='-8', p3_o21='-4', p4_glu2='-10', p5_ac2='-4', p6_o22='-7',192,0.632487
193: p1_glu1='-16', p2_ac1='-4', p3_o21='-7', p4_glu2='-16', p5_ac2='0', p6_o22='-3',193,0.581243
194: p1_glu1='-4', p2_ac1='-16', p3_o21='-3', p4_glu2='-14', p5_ac2='-4', p6_o22='-1',194,0.192654
195: p1_glu1='-6', p2_ac1='-18', p3_o21='-7', p4_glu2='-6', p5_ac2='-2', p6_o22='-3',195,0.697122
196: p1_glu1='-18', p2_ac1='-12', p3_o21='-2', p4_glu2='-2', p5_ac2='-6', p6_o22='-7',196,0.457402
197: p1_glu1='-8', p2_ac1='-18', p3_o21='-7', p4_glu2='-8', p5_ac2='-2', p6_o22='-3',197,0.69221
198: p1_glu1='-20', p2_ac1='-12', p3_o21='-3', p4_glu2='-4', p5_ac2='-6', p6_o22='-6',198,0.532675
199: p1_glu1='-8', p2_ac1='-18', p3_o21='-7', p4_glu2='-6', p5_ac2='-18', p6_o22='-4',199,0.705593
200: p1_glu1='-20', p2_ac1='-14', p3_o21='-2', p4_glu2='-18', p5_ac2='-6', p6_o22='-7',200,0.614933
201: p1_glu1='-8', p2_ac1='-18', p3_o21='-7', p4_glu2='-8', p5_ac2='-16', p6_o22='-4',201,0.695742
202: p1_glu1='-2', p2_ac1='0', p3_o21='-6', p4_glu2='-16', p5_ac2='-2', p6_o22='-5',202,0.445292
203: p1_glu1='-12', p2_ac1='-18', p3_o21='-7', p4_glu2='-8', p5_ac2='-18', p6_o22='-4',203,0.705433
204: p1_glu1='-8', p2_ac1='-8', p3_o21='-5', p4_glu2='-4', p5_ac2='-16', p6_o22='-1',204,0.611702
205: p1_glu1='-4', p2_ac1='0', p3_o21='-4', p4_glu2='-12', p5_ac2='-14', p6_o22='-7',205,0.708768
206: p1_glu1='-8', p2_ac1='-4', p3_o21='-2', p4_glu2='-12', p5_ac2='-16', p6_o22='-3',206,0.440746
207: p1_glu1='-4', p2_ac1='0', p3_o21='-4', p4_glu2='-18', p5_ac2='-10', p6_o22='-7',207,0.691116
208: p1_glu1='-18', p2_ac1='0', p3_o21='-6', p4_glu2='-10', p5_ac2='-8', p6_o22='-4',208,0.386145
209: p1_glu1='-4', p2_ac1='-2', p3_o21='-4', p4_glu2='-16', p5_ac2='-18', p6_o22='-7',209,0.700351
