sucrPer	Synecho	KT	NH4	sd	fitness
221	10	1.25	0.02	5	0	0.189864
298	60	1.75	0.125	15	0	0.180511
380	80	2	0.15	13	0	0.178852
330	50	2	0.2	14	0	0.175279
49	70	2	0.2	12	0	0.174355
111	80	1.75	0.1	14	0	0.173144
169	50	1.75	0.175	15	0	0.173066
24	70	0.75	0.05	1	0	0.172644
308	60	1.75	0.05	15	0	0.171345
333	60	1.75	0.15	13	0	0.168602
225	80	1	0.15	2	0	0.168528
109	70	0.75	0.075	1.5	0	0.166291
192	80	2	0.1	12	0	0.162579
470	80	2	0.02	13	0	0.160055
413	60	1.75	0.075	13	0	0.159437
95	40	1.25	0.125	10	0	0.159009
56	80	1	0.075	3	0	0.15759
256	80	1.5	0.125	12	0	0.149512
122	10	0.75	0.02	3	0	0.148257
16	60	1.25	0.125	13	0	0.145773
15	60	1.75	0.1	11	0	0.14542
113	80	1.75	0.2	9	0	0.142758
194	80	1.5	0.15	10	0	0.141186
493	60	1.25	0.05	10	0	0.138665
431	40	1.5	0.15	15	0	0.138228
186	50	2	0.175	10	0	0.138104
348	80	1.5	0.1	13	0	0.137531
306	70	2	0.15	9	0	0.137315
297	40	2	0.15	13	0	0.136431
350	50	1.25	0.02	15	0	0.135785
397	50	2	0.02	12	0	0.135175
97	40	1.75	0.1	14	0	0.132924
321	70	1.25	0.15	10	0	0.132359
19	50	1.25	0.075	13	0	0.131856
419	50	1.25	0.125	12	0	0.131632
73	50	1.75	0.02	12	0	0.131429
296	80	2	0.1	9	0	0.131054
268	70	1.75	0.175	8	0	0.127518
267	80	1.75	0.075	9	0	0.125027
336	80	1.25	0.2	10	0	0.123715
161	40	1.75	0.075	13	0	0.123505
196	80	2	0.125	8	0	0.123484
289	40	2	0.05	13	0	0.123443
71	80	1.5	0.02	10	0	0.123193
200	50	1	0.125	13	0	0.123164
220	50	1	0.2	11	0	0.122753
449	60	2	0.125	8	0	0.121314
211	40	1.75	0.15	11	0	0.11912
163	40	1.5	0.075	13	0	0.118673
411	50	1	0.075	13	0	0.118636
476	30	1.75	0.15	15	0	0.116651
228	50	1	0.05	13	0	0.116351
469	60	1.5	0.125	8	0	0.116169
80	60	1.5	0.2	7	0	0.116043
236	30	2	0.15	14	0	0.1152
17	50	1	0.05	12	0	0.112335
378	30	1.5	0.15	15	0	0.112215
11	50	2	0.125	8	0	0.112084
18	60	1.75	0.075	8	0	0.111999
42	80	1.5	0.15	15	0	0.110954
144	50	1.5	0.02	10	0	0.110685
136	40	1.25	0.1	12	0	0.109875
203	70	1	0.1	9	0	0.109766
319	40	1	0.175	12	0	0.10912
75	40	1.75	0.02	12	0	0.109102
91	80	1.25	0.15	7	0	0.108698
77	50	1.5	0.2	7	0	0.108109
238	40	1.75	0.175	9	0	0.10768
243	40	1	0.15	12	0	0.10663
386	70	1	0.125	8	0	0.106444
82	60	1.5	0.2	6	0	0.105572
372	70	1.75	0.175	6	0	0.104963
287	80	1	0.15	7	0	0.103165
438	30	1.5	0.1	14	0	0.102176
360	70	1.25	0.175	6	0	0.100861
412	50	1.75	0.2	6	0	0.100301
70	80	1.25	0.075	12	0	0.100293
36	30	1.5	0.2	11	0	0.0996214
201	70	1	0.2	12	0	0.0994099
61	50	2	0.1	7	0	0.098317
21	30	2	0.05	13	0	0.0973871
67	40	2	0.02	10	0	0.0963527
84	60	1.5	0.2	5	0	0.0944469
269	30	1.25	0.15	12	0	0.0939261
83	50	1	0.02	9	0	0.0924204
22	30	1	0.125	14	0	0.0920346
160	30	1.75	0.2	9	0	0.0916971
463	80	1	0.05	7	0	0.0904068
288	60	1.75	0.2	4.5	0	0.0898427
173	60	1	0.125	6	0	0.0891409
311	70	0.75	0.125	7	0	0.0889709
87	50	1.5	0.2	5	0	0.0885599
290	60	1.5	0.075	6	0	0.0882241
497	30	1	0.05	15	0	0.0882196
147	60	1.25	0.2	4.5	0	0.0870849
271	40	0.75	0.05	13	0	0.0869756
462	60	1.75	0.175	4.5	0	0.086236
55	50	2	0.02	7	0	0.0859295
374	40	2	0.175	6	0	0.0849649
285	50	1.75	0.2	4.5	0	0.0844339
331	30	0.75	0.125	15	0	0.0830772
128	40	1.75	0.1	7	0	0.0819228
63	40	2	0.15	6	0	0.08142
32	50	1	0.175	5	0	0.0805703
303	80	0.75	0.15	5	0	0.0801209
389	50	2	0.2	4	0	0.0796194
237	40	2	0.2	5	0	0.079552
185	40	1.5	0.15	6	0	0.0787993
468	20	2	0.125	13	0	0.0783685
367	30	1	0.02	13	0	0.0782609
207	80	1.25	0.125	4.5	0	0.0781768
485	60	1.75	0.075	5	0	0.0776256
239	70	1	0.1	5	0	0.0773528
79	20	1.75	0.1	14	0	0.0770339
293	30	1	0.15	9	0	0.0760191
394	40	1.25	0.2	5	0	0.0759569
235	40	2	0.2	4.5	0	0.0750455
467	30	0.75	0.02	15	0	0.0747739
410	30	2	0.2	6	0	0.0745107
60	40	1.5	0.175	5	0	0.0740898
428	50	1.75	0.2	3.5	0	0.0732963
183	20	1.5	0.2	10	0	0.0728202
358	20	1	0.175	13	0	0.0715786
466	40	2	0.175	4.5	0	0.0714928
68	20	2	0.1	12	0	0.0714103
498	50	1	0.175	4	0	0.0713877
373	80	0.75	0.075	5	0	0.0706049
51	70	1.25	0.075	4.5	0	0.0702979
