132: p1_percSucr='50', p2_biomassSynecho='0.5', p3_biomassKT='0.02', p4_nh4='4.5',132,0.047399
133: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='1.5',133,0.884772
134: p1_percSucr='70', p2_biomassSynecho='1.75', p3_biomassKT='0.1', p4_nh4='5',134,0.371612
135: p1_percSucr='10', p2_biomassSynecho='1', p3_biomassKT='0.075', p4_nh4='2.5',135,0.0175354
136: p1_percSucr='40', p2_biomassSynecho='1.25', p3_biomassKT='0.1', p4_nh4='12',136,0.109875
137: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='3',137,0.862128
138: p1_percSucr='50', p2_biomassSynecho='0.5', p3_biomassKT='0.125', p4_nh4='10',138,0
139: p1_percSucr='70', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='5',139,0.43231
140: p1_percSucr='10', p2_biomassSynecho='1', p3_biomassKT='0.125', p4_nh4='2.5',140,0.0244851
141: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.175', p4_nh4='2',141,0.878235
142: p1_percSucr='10', p2_biomassSynecho='2', p3_biomassKT='0.1', p4_nh4='15',142,0.0487034
143: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.05', p4_nh4='3.5',143,0.858067
144: p1_percSucr='50', p2_biomassSynecho='1.5', p3_biomassKT='0.02', p4_nh4='10',144,0.110685
145: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='3.5',145,0.81234
146: p1_percSucr='60', p2_biomassSynecho='1.5', p3_biomassKT='0.075', p4_nh4='1',146,0.490909
147: p1_percSucr='60', p2_biomassSynecho='1.25', p3_biomassKT='0.2', p4_nh4='4.5',147,0.0870849
148: p1_percSucr='80', p2_biomassSynecho='2', p3_biomassKT='0.125', p4_nh4='6',148,0.315268
149: p1_percSucr='20', p2_biomassSynecho='1.75', p3_biomassKT='0.05', p4_nh4='1.5',149,0.469491
150: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.175', p4_nh4='3.5',150,0.812298
151: p1_percSucr='10', p2_biomassSynecho='1', p3_biomassKT='0.05', p4_nh4='10',151,0.0286735
152: p1_percSucr='40', p2_biomassSynecho='0.75', p3_biomassKT='0.15', p4_nh4='6',152,0.0695406
153: p1_percSucr='40', p2_biomassSynecho='1.5', p3_biomassKT='0.05', p4_nh4='4.5',153,0.654835
154: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='4.5',154,0.843873
155: p1_percSucr='60', p2_biomassSynecho='1.5', p3_biomassKT='0.125', p4_nh4='4',155,0.457705
156: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='4',156,0.848931
157: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.075', p4_nh4='4',157,0.850276
158: p1_percSucr='70', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='1',158,0.476153
159: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='5',159,0.835871
160: p1_percSucr='30', p2_biomassSynecho='1.75', p3_biomassKT='0.2', p4_nh4='9',160,0.0916971
161: p1_percSucr='40', p2_biomassSynecho='1.75', p3_biomassKT='0.075', p4_nh4='13',161,0.123505
162: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='4',162,0.808054
163: p1_percSucr='40', p2_biomassSynecho='1.5', p3_biomassKT='0.075', p4_nh4='13',163,0.118673
164: p1_percSucr='50', p2_biomassSynecho='2', p3_biomassKT='0.02', p4_nh4='5',164,0.798659
165: p1_percSucr='30', p2_biomassSynecho='0.5', p3_biomassKT='0.2', p4_nh4='4',165,0.0503803
166: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='1',166,0.891081
167: p1_percSucr='10', p2_biomassSynecho='0.75', p3_biomassKT='0.1', p4_nh4='12',167,0.0342695
168: p1_percSucr='40', p2_biomassSynecho='1.25', p3_biomassKT='0.1', p4_nh4='4.5',168,0.0581911
169: p1_percSucr='50', p2_biomassSynecho='1.75', p3_biomassKT='0.175', p4_nh4='15',169,0.173066
170: p1_percSucr='20', p2_biomassSynecho='0.5', p3_biomassKT='0.1', p4_nh4='2',170,0.0237572
171: p1_percSucr='40', p2_biomassSynecho='1.5', p3_biomassKT='0.2', p4_nh4='3.5',171,0.665164
172: p1_percSucr='80', p2_biomassSynecho='1.5', p3_biomassKT='0.05', p4_nh4='5',172,0.231118
173: p1_percSucr='60', p2_biomassSynecho='1', p3_biomassKT='0.125', p4_nh4='6',173,0.0891409
174: p1_percSucr='40', p2_biomassSynecho='1.75', p3_biomassKT='0.02', p4_nh4='6',174,0.729378
175: p1_percSucr='40', p2_biomassSynecho='2', p3_biomassKT='0.2', p4_nh4='2',175,0.878235
176: p1_percSucr='20', p2_biomassSynecho='0.5', p3_biomassKT='0.175', p4_nh4='4',176,0.0391987
