Fitness_function	configuration	fitness	sd	C80aPHA(mM)	sucr(mM)	endCycle
MaxPHA	80.0,1.5,0.15,3.5	0.247426	0.0	6.185641	0.0	1000
MaxPHA	10.0,2.0,0.02,8.0	0.241775	0.0	6.044382	0.0	1000
MaxPHA	10.0,1.75,0.05,3.0	0.238093	0.0	5.952316	0.0	1000
MaxPHA	80.0,1.5,0.15,4.5	0.236296	0.0	5.907398	0.0	1000
MaxPHA	10.0,1.75,0.05,4.0	0.234948	0.0	5.873706	0.0	1000
MaxPHA	10.0,1.75,0.02,4.0	0.234903	0.0	5.872569	0.0	1000
MaxPHA	80.0,1.25,0.175,0.5	0.232614	0.0	5.815343	0.0	1000
MaxPHA	80.0,1.5,0.05,5.0	0.231118	0.0	5.777953	0.0	1000
MaxPHA	10.0,1.75,0.05,6.0	0.228522	0.0	5.713054	0.0	1000
MaxPHA	10.0,2.0,0.02,12.0	0.227951	0.0	5.698787	0.0	1000
MaxPHA	10.0,1.5,0.05,0.5	0.22454	0.0	5.613497	0.0	1000
MaxPHA	20.0,0.5,0.02,1.0	0.214339	0.0	5.358475	0.0	1000
MaxPHA	10.0,1.25,0.05,0.5	0.202602	0.0	5.065038	0.0	1000
MaxPHA	10.0,1.75,0.02,0.5	0.202012	0.0	5.050302	1.851731	1000
MaxPHA	10.0,1.25,0.02,5.0	0.189864	0.0	4.746602	0.0	1000
MaxPHA	60.0,1.75,0.125,15.0	0.180511	0.0	4.512786	10.011749	1000
MaxPHA	80.0,2.0,0.15,13.0	0.178852	0.0	4.471297	2.390072	1000
MaxPHA	50.0,2.0,0.2,14.0	0.175279	0.0	4.381963	22.286341	1000
MaxPHA	70.0,2.0,0.2,12.0	0.174355	0.0	4.358882	7.622955	1000
MaxPHA	80.0,1.75,0.1,14.0	0.173144	0.0	4.328598	0.077532	1000
MaxPHA	50.0,1.75,0.175,15.0	0.173066	0.0	4.326658	17.301644	1000
MaxPHA	70.0,0.75,0.05,1.0	0.172644	0.0	4.316093	0.0	1000
MaxPHA	60.0,1.75,0.05,15.0	0.171345	0.0	4.283622	10.344817	1000
MaxPHA	60.0,1.75,0.15,13.0	0.168602	0.0	4.215057	11.40666	1000
MaxPHA	80.0,1.0,0.15,2.0	0.168528	0.0	4.2132	0.0	1000
MaxPHA	70.0,0.75,0.075,1.5	0.166291	0.0	4.157273	0.0	1000
MaxPHA	80.0,2.0,0.1,12.0	0.162579	0.0	4.064475	3.594712	1000
MaxPHA	80.0,2.0,0.02,13.0	0.160055	0.0	4.00138	3.248311	1000
MaxPHA	60.0,1.75,0.075,13.0	0.159437	0.0	3.985923	11.944968	1000
MaxPHA	40.0,1.25,0.125,10.0	0.159009	0.0	3.975216	13.876771	1000
MaxPHA	80.0,1.0,0.075,3.0	0.15759	0.0	3.939756	0.0	1000
MaxPHA	80.0,1.5,0.125,12.0	0.149512	0.0	3.737794	0.0	1000
MaxPHA	10.0,0.75,0.02,3.0	0.148257	0.0	3.706421	0.0	1000
MaxPHA	60.0,1.25,0.125,13.0	0.145773	0.0	3.644332	5.16011	1000
MaxPHA	60.0,1.75,0.1,11.0	0.14542	0.0	3.635498	13.409594	1000
MaxPHA	80.0,1.75,0.2,9.0	0.142758	0.0	3.568947	3.821335	1000
MaxPHA	80.0,1.5,0.15,10.0	0.141186	0.0	3.52965	1.35416	1000
MaxPHA	60.0,1.25,0.05,10.0	0.138665	0.0	3.466619	7.044189	1000
MaxPHA	40.0,1.5,0.15,15.0	0.138228	0.0	3.455694	14.239132	1000
MaxPHA	50.0,2.0,0.175,10.0	0.138104	0.0	3.452601	25.906403	1000
MaxPHA	80.0,1.5,0.1,13.0	0.137531	0.0	3.438283	0.0	1000
MaxPHA	70.0,2.0,0.15,9.0	0.137315	0.0	3.432868	10.598742	1000
MaxPHA	40.0,2.0,0.15,13.0	0.136431	0.0	3.410786	22.955783	1000
MaxPHA	50.0,1.25,0.02,15.0	0.135785	0.0	3.394625	10.353631	1000
MaxPHA	50.0,2.0,0.02,12.0	0.135175	0.0	3.379381	25.256124	1000
MaxPHA	40.0,1.75,0.1,14.0	0.132924	0.0	3.323106	18.794937	1000
MaxPHA	70.0,1.25,0.15,10.0	0.132359	0.0	3.308982	2.500921	1000
MaxPHA	50.0,1.25,0.075,13.0	0.131856	0.0	3.296401	11.392502	1000
MaxPHA	50.0,1.25,0.125,12.0	0.131632	0.0	3.290793	11.818578	1000
MaxPHA	50.0,1.75,0.02,12.0	0.131429	0.0	3.285718	20.915736	1000
MaxPHA	80.0,2.0,0.1,9.0	0.131054	0.0	3.276351	6.381585	1000
MaxPHA	70.0,1.75,0.175,8.0	0.127518	0.0	3.187961	8.89514	1000
MaxPHA	80.0,1.75,0.075,9.0	0.125027	0.0	3.125673	4.6051	1000
MaxPHA	80.0,1.25,0.2,10.0	0.123715	0.0	3.092865	0.0	1000
MaxPHA	40.0,1.75,0.075,13.0	0.123505	0.0	3.087623	20.166969	1000
MaxPHA	80.0,2.0,0.125,8.0	0.123484	0.0	3.087088	7.17892	1000
MaxPHA	40.0,2.0,0.05,13.0	0.123443	0.0	3.086081	23.533008	1000
MaxPHA	80.0,1.5,0.02,10.0	0.123193	0.0	3.079831	2.182296	1000
MaxPHA	50.0,1.0,0.125,13.0	0.123164	0.0	3.079107	7.162352	1000
MaxPHA	50.0,1.0,0.2,11.0	0.122753	0.0	3.068824	8.040531	1000
MaxPHA	60.0,2.0,0.125,8.0	0.121314	0.0	3.032848	19.450978	1000
MaxPHA	40.0,1.75,0.15,11.0	0.11912	0.0	2.977993	22.139256	1000
MaxPHA	40.0,1.5,0.075,13.0	0.118673	0.0	2.966827	16.952912	1000
MaxPHA	50.0,1.0,0.075,13.0	0.118636	0.0	2.965903	7.387446	1000
MaxPHA	30.0,1.75,0.15,15.0	0.116651	0.0	2.916263	15.078145	1000
MaxPHA	50.0,1.0,0.05,13.0	0.116351	0.0	2.908763	7.500895	1000
MaxPHA	60.0,1.5,0.125,8.0	0.116169	0.0	2.904231	12.541807	1000
MaxPHA	60.0,1.5,0.2,7.0	0.116043	0.0	2.901067	13.013053	1000
MaxPHA	30.0,2.0,0.15,14.0	0.1152	0.0	2.880007	18.30354	1000
MaxPHA	50.0,1.0,0.05,12.0	0.112335	0.0	2.808364	8.119368	1000
MaxPHA	30.0,1.5,0.15,15.0	0.112215	0.0	2.805371	12.771615	1000
MaxPHA	50.0,2.0,0.125,8.0	0.112084	0.0	2.802092	27.846119	1000
MaxPHA	60.0,1.75,0.075,8.0	0.111999	0.0	2.799973	16.295811	1000
MaxPHA	80.0,1.5,0.15,15.0	0.110954	0.0	2.773847	0.0	1000
MaxPHA	50.0,1.5,0.02,10.0	0.110685	0.0	2.767129	18.121275	1000
MaxPHA	40.0,1.25,0.1,12.0	0.109875	0.0	2.746879	14.572597	1000
MaxPHA	70.0,1.0,0.1,9.0	0.109766	0.0	2.74415	1.325218	1000
MaxPHA	40.0,1.0,0.175,12.0	0.10912	0.0	2.728006	10.751929	1000
MaxPHA	40.0,1.75,0.02,12.0	0.109102	0.0	2.727543	21.563939	1000
MaxPHA	80.0,1.25,0.15,7.0	0.108698	0.0	2.717453	2.188334	1000
MaxPHA	50.0,1.5,0.2,7.0	0.108109	0.0	2.702728	19.430908	1000
MaxPHA	40.0,1.75,0.175,9.0	0.10768	0.0	2.692	24.239851	1000
MaxPHA	40.0,1.0,0.15,12.0	0.10663	0.0	2.665742	10.869026	1000
MaxPHA	70.0,1.0,0.125,8.0	0.106444	0.0	2.661091	1.98067	1000
MaxPHA	60.0,1.5,0.2,6.0	0.105572	0.0	2.639306	13.944278	1000
MaxPHA	70.0,1.75,0.175,6.0	0.104963	0.0	2.624082	10.873535	1000
MaxPHA	80.0,1.0,0.15,7.0	0.103165	0.0	2.579121	0.338273	1000
MaxPHA	30.0,1.5,0.1,14.0	0.102176	0.0	2.554411	13.87539	1000
MaxPHA	70.0,1.25,0.175,6.0	0.100861	0.0	2.521529	5.786515	1000
MaxPHA	50.0,1.75,0.2,6.0	0.100301	0.0	2.507516	24.661566	1000
MaxPHA	80.0,1.25,0.075,12.0	0.100293	0.0	2.507335	0.0	1000
MaxPHA	30.0,1.5,0.2,11.0	0.099621	0.0	2.490535	15.93291	1000
MaxPHA	70.0,1.0,0.2,12.0	0.09941	0.0	2.485248	0.0	1000
MaxPHA	50.0,2.0,0.1,7.0	0.098317	0.0	2.457925	28.84082	1000
