glu1	ac1	o21	glu2	ac2	o22	sd	fitness
318	-6	-4	-4	-16	0	-7	0	0.544323
498	-16	-8	-7	-6	-18	-4	0	0.544323
218	-18	-12	-5	-6	-16	-5	0	0.543424
70	-18	-18	-2	-8	0	-7	0	0.543056
462	-20	-16	-3	-6	-12	-6	0	0.542525
192	-12	-8	-4	-10	-4	-7	0	0.541708
13	-2	-14	-6	-20	-18	-6	5.57143055866208e-10	0.53627
163	-8	-12	-7	-12	-2	-5	0	0.53472
34	-20	-2	-4	-12	-6	-1	0	0.534552
19	-4	0	-5	-16	-14	-7	0	0.533659
490	-10	-8	-5	-20	-14	-1	0	0.531774
144	-4	0	-6	-20	-18	-4	0	0.531159
456	-20	-6	-5	-6	-4	-3	0	0.526217
288	-14	-18	-6	-10	-16	-3	0	0.523439
475	-12	-8	-3	-12	-4	-6	0	0.523439
74	-18	-6	-1	-8	0	-7	0	0.518049
91	-8	-8	-6	-14	-10	-4	0	0.51617
174	-16	-6	-5	-6	-6	-5	0	0.515639
72	-16	-4	-2	-8	0	-7	0	0.515271
78	-6	-16	-6	-18	-10	-3	0	0.51474
28	-10	-12	-4	-10	-8	-7	0	0.513923
437	-16	-12	-2	-18	0	-1	0	0.512325
212	-2	-14	-6	-20	-16	-5	0	0.511263
75	-16	-6	-6	-4	0	-5	0	0.508652
226	-8	-16	-7	-10	-16	-5	0	0.506936
342	-8	-14	-7	-10	-14	-5	0	0.506936
356	-18	-16	-4	-12	-18	-1	0	0.506769
198	-20	-12	-3	-4	-6	-6	0	0.506152
473	-12	-18	-1	-16	-2	-5	0	0.50399
115	-12	-16	-5	-14	-8	-2	0	0.501212
168	-16	-12	-4	-10	-12	-3	0	0.501212
216	-10	-18	-5	-16	-12	-2	0	0.501212
294	-14	-4	-2	-12	-6	-5	0	0.501212
242	-6	-10	-4	-20	-2	-3	0	0.499867
17	-4	-10	-6	-14	-16	-6	0	0.497816
119	-12	-2	-5	-10	-10	-4	0	0.495655
387	-14	0	-5	-8	-12	-4	0	0.495655
15	-4	-10	-3	-18	-14	-6	0	0.493779
351	-8	-6	-5	-12	-6	-5	0	0.492063
95	-10	-16	-7	-12	-4	-2	0	0.491695
457	-14	0	-5	-4	-2	-7	0	0.488969
354	-12	-16	-2	-20	0	-1	0	0.484542
252	-12	-8	-2	-18	-18	-2	0	0.481764
313	-14	-14	-1	-16	-14	-3	0	0.481764
187	-2	-2	-7	-20	-18	-4	0	0.478374
12	-20	-14	-3	-6	-14	-3	0	0.476207
82	-12	-10	-1	-14	-18	-5	0	0.476207
440	-10	-18	-2	-16	-2	-4	0	0.476207
185	-2	-14	-7	-18	-6	-4	0	0.474389
191	-2	-14	-7	-18	-18	-4	0	0.474389
193	-2	-6	-7	-18	-2	-4	0	0.474389
336	-12	-6	-3	-12	-10	-4	0	0.473429
9	-8	-6	-1	-14	-4	-7	0	0.47065
246	-14	-12	-7	-8	-8	-1	0	0.47065
426	-2	-2	-7	-14	-12	-7	0	0.470038
11	-14	-12	-4	-4	-10	-7	0	0.463962
422	-12	-8	-6	-6	-16	-4	0	0.463746
486	-8	-4	-3	-10	-8	-7	0	0.461131
21	-2	-14	-3	-16	-16	-7	0	0.457384
388	-14	-6	-2	-16	-4	-1	0	0.456759
454	-4	-12	-4	-12	-18	-7	0	0.456759
398	-16	-10	-1	-12	-8	-3	0	0.453981
304	-12	0	-2	-16	-18	-2	0	0.45398
364	-20	-12	-3	-8	-14	-1	0	0.45398
467	-6	-8	-7	-12	-14	-3	0	0.452714
56	-6	-10	-3	-20	-8	-2	0	0.451202
86	-12	-6	-3	-14	-16	-2	0	0.451202
222	-14	-4	-4	-12	-18	-1	0	0.451202
260	-8	-14	-4	-18	-16	-1	0	0.451202
272	-6	-18	-4	-20	-12	-1	0	0.449854
262	-8	-16	-3	-16	-14	-3	0	0.448424
189	-2	-12	-7	-16	-8	-4	0	0.446604
463	-14	0	-6	-2	-2	-6	0	0.445032
104	-10	-10	-4	-10	-14	-4	0	0.442867
500	-4	-12	-3	-16	-16	-5	0	0.440987
232	-10	-4	-5	-8	0	-4	0	0.440089
250	-8	0	-3	-10	-6	-6	0	0.439802
180	-6	-14	-4	-10	-14	-6	0	0.435647
360	-6	-14	-6	-14	-10	-2	0	0.434164
33	-4	-12	-5	-16	-16	-3	0	0.433632
309	-14	-6	-1	-16	0	-1	0	0.431754
311	-14	-10	-1	-16	-4	-1	0	0.431754
84	-14	-12	-7	-2	-18	-3	0	0.429599
176	-6	-14	-6	-10	-18	-4	0	0.428607
133	-4	-10	-5	-12	-4	-5	0	0.428075
188	-8	-8	-1	-18	-16	-3	0	0.426197
372	-18	-16	-2	-8	-2	-2	0	0.426197
496	-6	-12	-5	-8	-16	-6	0	0.424983
196	-18	-12	-2	-2	-6	-7	0	0.424376
26	-18	-8	-3	-6	-4	-2	0	0.423419
41	-8	-10	-4	-16	-2	-1	0	0.423419
236	-4	0	-2	-20	-16	-3	0	0.423419
438	-4	-8	-2	-20	-16	-3	0	0.423419
202	-2	0	-6	-16	-2	-5	0	0.423213
455	-16	0	-5	-2	0	-7	0	0.423213
383	-4	-12	-6	-14	-4	-3	0	0.422797
393	-8	-16	-4	-6	-2	-7	0	0.422151
334	-10	-12	-4	-12	-10	-2	0	0.420641
282	-6	-14	-3	-16	-16	-3	0	0.42064
210	-12	-4	-7	-2	-14	-4	0	0.417973
324	-18	0	-6	-2	-8	-1	0	0.417862
446	-12	-18	-4	-8	-18	-3	0	0.417862
43	-6	-8	-5	-16	-12	-1	0	0.415613
40	-6	0	-1	-12	-8	-7	0	0.415084
51	-12	-2	-7	-6	-14	-1	0	0.415084
332	-4	-18	-2	-14	0	-6	0	0.415084
3	-10	-18	-6	-8	-8	-2	0	0.414795
310	-16	0	-4	-2	-2	-5	0	0.414682
316	-2	-12	-7	-10	-14	-6	0	0.412948
58	-4	-12	-5	-18	-16	-1	0	0.411404
381	-18	-12	-1	-4	-6	-5	0	0.411404
479	-4	-6	-5	-18	-14	-1	0	0.411404
122	-10	-12	-1	-18	-6	-1	0	0.40397
248	-14	-12	-4	-2	-16	-6	0	0.402901
214	-8	-16	-7	-6	-6	-3	0	0.401352
406	-18	-14	-2	-8	-16	-1	0	0.401192
230	-10	-12	-2	-14	0	-2	0	0.398414
244	-12	-2	-3	-12	-18	-1	0	0.398414
186	-8	-6	-6	-4	-12	-5	0	0.392989
274	-12	-12	-5	-8	-6	-1	0	0.392857
396	-4	0	-2	-16	-2	-4	0	0.392857
276	-16	-8	-3	-2	-16	-5	0	0.389676
320	-4	-8	-6	-8	-18	-5	0	0.388609
42	-8	-6	-4	-8	-12	-4	0	0.387301
137	-8	-8	-4	-8	-14	-4	0	0.387301
424	-2	-4	-1	-14	-10	-7	0	0.3873
148	-10	-6	-4	-6	0	-4	0	0.385948
161	-2	-12	-3	-18	0	-3	0	0.385143
338	-4	-6	-7	-10	-10	-3	0	0.383385
39	-2	-6	-6	-16	-12	-2	0	0.380673
224	-4	-10	-4	-10	-18	-5	0	0.378961
108	-10	-10	-4	-4	-8	-5	0	0.375284
53	-12	-2	-1	-12	-12	-2	0	0.373409
477	-16	-16	-1	-6	0	-3	0	0.37063
493	-8	-10	-3	-14	-6	-1	0	0.37063
206	-8	-4	-2	-12	-16	-3	0	0.367852
18	-14	-2	-5	-4	-18	-1	0	0.365073
126	-12	-8	-5	-6	-2	-1	0	0.365073
20	-16	-8	-1	-4	-12	-4	0	0.36229
100	-8	-14	-6	-2	-2	-6	0	0.357154
433	-2	-18	-5	-10	-14	-5	2.3671359790414e-10	0.356334
306	-2	-16	-3	-14	-16	-4	0	0.35458
492	-6	-2	-7	-2	-4	-6	0	0.354372
24	-2	-6	-6	-14	-12	-2	0	0.352888
5	-18	-10	-1	-2	-14	-4	0	0.351289
346	-6	-10	-4	-6	-4	-5	0	0.350331
458	-8	-16	-4	-4	-2	-5	0	0.347499
268	-14	-8	-1	-2	-10	-7	6.26425029802628e-10	0.3438
32	-2	-4	-6	-8	-18	-5	0	0.343708
376	-10	-2	-3	-10	-6	-1	0	0.342847
497	-10	-6	-1	-8	0	-4	0	0.340069
258	-16	-6	-1	-2	-10	-5	2.3671359790414e-10	0.339663
157	-2	-18	-6	-8	-16	-4	0	0.319546
314	-4	-2	-2	-6	0	-7	0	0.316567
194	-4	-16	-3	-14	-4	-1	0	0.313176
278	-10	-6	-5	-4	-2	-1	0	0.309507
374	-16	-16	-1	-2	-14	-3	0	0.307345
385	-6	0	-4	-2	-4	-7	0	0.306303
266	-8	-12	-1	-4	-2	-7	0	0.305587
22	-4	-8	-4	-4	-4	-6	0	0.303293
141	-2	-16	-4	-14	-6	-1	0	0.295719
6	-8	-10	-5	-2	-16	-3	0	0.295386
37	-2	-10	-1	-18	0	-1	0	0.292837
69	-14	0	-1	-4	0	-2	0	0.290059
482	-12	-6	-2	-6	-6	-1	0	0.290059
448	-12	-14	-1	-4	-4	-3	0	0.285391
460	-4	-10	-3	-12	0	-1	0	0.285391
204	-8	-8	-5	-4	-16	-1	0	0.280896
124	-8	-18	-3	-4	-12	-3	0	0.279834
178	-10	-14	-1	-2	-14	-6	5.5714302381683e-10	0.272312
113	-4	-12	-5	-6	-8	-2	0	0.2697
10	-2	-18	-5	-4	-6	-5	2.36713629953518e-10	0.263716
2	-4	-4	-2	-12	-2	-1	0	0.262275
62	-12	-16	-1	-4	0	-2	0	0.262275
256	-10	-18	-1	-6	-8	-2	0	0.262275
190	-10	-14	-1	-4	-4	-3	0	0.257606
352	-12	-14	-2	-2	-10	-2	0	0.257075
7	-2	-2	-3	-12	-8	-1	0	0.251775
414	-4	-18	-1	-4	-12	-7	0	0.250017
480	-6	-2	-4	-2	-14	-3	0	0.242063
139	-2	0	-4	-8	0	-2	0	0.237053
464	-6	-8	-2	-8	0	-1	0	0.234492
488	-2	-8	-7	-6	0	-1	0.0279427012697925	0.216526
